,Artist,Track,Track ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Genre,Genre ID,Spotify ID
2070,Paolo Barbato,Revenge - Stream Mix,spotify:track:33FwuXY4GI7e7mf1GoN0mH,0.799,0.4,9,-16.355,0,0.152,0.033,0.906,0.0777,0.0638,119.982,audio_features,33FwuXY4GI7e7mf1GoN0mH,spotify:track:33FwuXY4GI7e7mf1GoN0mH,https://api.spotify.com/v1/tracks/33FwuXY4GI7e7mf1GoN0mH,https://api.spotify.com/v1/audio-analysis/33FwuXY4GI7e7mf1GoN0mH,146060,4,Dance/Electronica,g.71,3BVZTRTIvNOYvqbapXBiYi
2071,Various Artists,Joy - edit Mix,spotify:track:3C8NcYU5FCQwgMXQLaFuvq,0.807,0.813,0,-8.256,1,0.0904,0.000584,0.176,0.117,0.239,122.997,audio_features,3C8NcYU5FCQwgMXQLaFuvq,spotify:track:3C8NcYU5FCQwgMXQLaFuvq,https://api.spotify.com/v1/tracks/3C8NcYU5FCQwgMXQLaFuvq,https://api.spotify.com/v1/audio-analysis/3C8NcYU5FCQwgMXQLaFuvq,218089,4,,,
2072,Lineki,Krass,spotify:track:620UKSJBhhxtzvwX3AFkyv,0.72,0.644,1,-12.401,1,0.0397,0.00386,0.774,0.0679,0.403,123.992,audio_features,620UKSJBhhxtzvwX3AFkyv,spotify:track:620UKSJBhhxtzvwX3AFkyv,https://api.spotify.com/v1/tracks/620UKSJBhhxtzvwX3AFkyv,https://api.spotify.com/v1/audio-analysis/620UKSJBhhxtzvwX3AFkyv,202042,4,,,
2073,Various Artists,I Love My House - Lineki Edit,spotify:track:3HhrENBt5Qjqv7GuGfYwvq,0.864,0.777,2,-6.633,1,0.0502,0.000338,0.598,0.276,0.345,122.971,audio_features,3HhrENBt5Qjqv7GuGfYwvq,spotify:track:3HhrENBt5Qjqv7GuGfYwvq,https://api.spotify.com/v1/tracks/3HhrENBt5Qjqv7GuGfYwvq,https://api.spotify.com/v1/audio-analysis/3HhrENBt5Qjqv7GuGfYwvq,175624,4,,,
2074,Paolo Barbato,Clouds - Stream Mix,spotify:track:1oIZSWEJ0HiMeUeeRXJ0Zc,0.739,0.512,11,-10.302,0,0.054,0.000387,0.454,0.249,0.393,118.022,audio_features,1oIZSWEJ0HiMeUeeRXJ0Zc,spotify:track:1oIZSWEJ0HiMeUeeRXJ0Zc,https://api.spotify.com/v1/tracks/1oIZSWEJ0HiMeUeeRXJ0Zc,https://api.spotify.com/v1/audio-analysis/1oIZSWEJ0HiMeUeeRXJ0Zc,148535,4,Dance/Electronica,g.71,3BVZTRTIvNOYvqbapXBiYi
2075,Various Artists,A Night In August - Edit Mix,spotify:track:27r69Yde0amjnz8VlisoKs,0.806,0.59,6,-11.616,0,0.0599,0.00165,0.927,0.108,0.457,122.015,audio_features,27r69Yde0amjnz8VlisoKs,spotify:track:27r69Yde0amjnz8VlisoKs,https://api.spotify.com/v1/tracks/27r69Yde0amjnz8VlisoKs,https://api.spotify.com/v1/audio-analysis/27r69Yde0amjnz8VlisoKs,209637,4,,,
2076,Paolo Barbato,In This City - Stream Mix,spotify:track:56p2R0jglPW2eXRP3xxFy9,0.834,0.503,9,-11.784,0,0.0815,0.136,0.272,0.109,0.414,120.017,audio_features,56p2R0jglPW2eXRP3xxFy9,spotify:track:56p2R0jglPW2eXRP3xxFy9,https://api.spotify.com/v1/tracks/56p2R0jglPW2eXRP3xxFy9,https://api.spotify.com/v1/audio-analysis/56p2R0jglPW2eXRP3xxFy9,170000,4,Dance/Electronica,g.71,3BVZTRTIvNOYvqbapXBiYi
2077,Lineki,Versus Fantasy,spotify:track:0zqE1wNWoh61SolqzqdVbd,0.75,0.395,8,-14.979,1,0.0406,0.000273,0.805,0.107,0.824,124.018,audio_features,0zqE1wNWoh61SolqzqdVbd,spotify:track:0zqE1wNWoh61SolqzqdVbd,https://api.spotify.com/v1/tracks/0zqE1wNWoh61SolqzqdVbd,https://api.spotify.com/v1/audio-analysis/0zqE1wNWoh61SolqzqdVbd,209443,4,,,
2078,Various Artists,Catch It - Alessandro Rotter Slammin' Dub Edit,spotify:track:1CLiaKKLjvVyXnBVXGI23B,0.646,0.752,7,-12.8,1,0.237,0.0708,0.598,0.133,0.104,124.1,audio_features,1CLiaKKLjvVyXnBVXGI23B,spotify:track:1CLiaKKLjvVyXnBVXGI23B,https://api.spotify.com/v1/tracks/1CLiaKKLjvVyXnBVXGI23B,https://api.spotify.com/v1/audio-analysis/1CLiaKKLjvVyXnBVXGI23B,217979,4,,,
2079,Regard,Ride It,spotify:track:2tnVG71enUj33Ic2nFN6kZ,0.88,0.751,7,-4.258,0,0.0874,0.177,6.43e-05,0.106,0.884,117.948,audio_features,2tnVG71enUj33Ic2nFN6kZ,spotify:track:2tnVG71enUj33Ic2nFN6kZ,https://api.spotify.com/v1/tracks/2tnVG71enUj33Ic2nFN6kZ,https://api.spotify.com/v1/audio-analysis/2tnVG71enUj33Ic2nFN6kZ,157606,4,Dance/Electronica,g.71,4ofCBoyEiGSePFAG500xev
2080,Regard,You,spotify:track:2cc8Sw1OnCuA5bV8nqWqpE,0.691,0.695,0,-5.6,1,0.0367,0.0592,0,0.0647,0.514,106.064,audio_features,2cc8Sw1OnCuA5bV8nqWqpE,spotify:track:2cc8Sw1OnCuA5bV8nqWqpE,https://api.spotify.com/v1/tracks/2cc8Sw1OnCuA5bV8nqWqpE,https://api.spotify.com/v1/audio-analysis/2cc8Sw1OnCuA5bV8nqWqpE,233386,4,Dance/Electronica,g.71,4ofCBoyEiGSePFAG500xev
2081,Regard,Hallucination,spotify:track:7y3c1oJMY1CwwtOZ84Qovu,0.687,0.788,6,-5.142,0,0.0352,0.0121,0,0.358,0.669,123.02,audio_features,7y3c1oJMY1CwwtOZ84Qovu,spotify:track:7y3c1oJMY1CwwtOZ84Qovu,https://api.spotify.com/v1/tracks/7y3c1oJMY1CwwtOZ84Qovu,https://api.spotify.com/v1/audio-analysis/7y3c1oJMY1CwwtOZ84Qovu,174795,4,Dance/Electronica,g.71,4ofCBoyEiGSePFAG500xev
2082,Regard,Secrets,spotify:track:66W1rVTnEv86dIkFhoiElg,0.848,0.768,6,-5.386,0,0.0373,0.0412,0.000785,0.195,0.777,118.961,audio_features,66W1rVTnEv86dIkFhoiElg,spotify:track:66W1rVTnEv86dIkFhoiElg,https://api.spotify.com/v1/tracks/66W1rVTnEv86dIkFhoiElg,https://api.spotify.com/v1/audio-analysis/66W1rVTnEv86dIkFhoiElg,176767,4,Dance/Electronica,g.71,4ofCBoyEiGSePFAG500xev
