Genre,Genre ID,Artist
Vocal/Easy Listening,g.69,Bette Midler
Vocal/Easy Listening,g.69,Louis Armstrong
Vocal/Easy Listening,g.69,Tony Bennett
Vocal/Easy Listening,g.69,Nat King Cole
Vocal/Easy Listening,g.69,Johnny Mathis
Vocal/Easy Listening,g.69,Eartha Kitt
Soundtracks,g.246,Post Malone
Soundtracks,g.246,Lady Gaga
Soundtracks,g.246,Carolina Gaitán
Soundtracks,g.246,"Diplo feat. Lil Pump, Juicy J, Famous Dex & French Montana"
Soundtracks,g.246,Idina Menzel
Soundtracks,g.246,Jessica Darrow
Soundtracks,g.246,Stephanie Beatriz
Soundtracks,g.246,Diane Guerrero
Soundtracks,g.246,Olivia Newton-John
Soundtracks,g.246,Taylor Swift
Soundtracks,g.246,Kristen Bell
Soundtracks,g.246,Lin-Manuel Miranda
Soundtracks,g.246,Hans Zimmer
Soundtracks,g.246,Sebastián Yatra
Soundtracks,g.246,John Williams
Soundtracks,g.246,Jonathan Groff
Soundtracks,g.246,Aerosmith
Soundtracks,g.246,John Legend
Soundtracks,g.246,Original Broadway Cast of Hamilton
Soundtracks,g.246,Germaine Franco
Children,g.470,Disney
Children,g.470,KIDZ BOP Kids
Children,g.470,Pinkfong
Children,g.470,Raffi
Children,g.470,Jack Johnson
Children,g.470,Lullabyte
Children,g.470,Dj Bebu
Children,g.470,Teddy Tales
Children,g.470,The Rock Music Box
Children,g.470,L'Bardo
Children,g.470,Candy Bear
Children,g.470,Madelaine Charlie
Children,g.470,Elton John
Children,g.470,Sam Smith
Children,g.470,Trolle
Children,g.470,The Cover Kid
Children,g.470,CoComelon
Children,g.470,The Kiboomers
Children,g.470,Spongebob Squarepants
Children,g.470,George Strait
Comedy/Spoken Word,g.156,Weird Al Yankovic
Comedy/Spoken Word,g.156,Bo Burnham
Comedy/Spoken Word,g.156,The Lonely Island
Comedy/Spoken Word,g.156,Adam Sandler
Comedy/Spoken Word,g.156,Tenacious D
Comedy/Spoken Word,g.156,Andrew Williams
Comedy/Spoken Word,g.156,"Bobby ""Boris"" Pickett"
Comedy/Spoken Word,g.156,Eddie Murphy
Comedy/Spoken Word,g.156,Alvin Williams
Comedy/Spoken Word,g.156,Sandra Schneider
Comedy/Spoken Word,g.156,Keith Dent
Comedy/Spoken Word,g.156,Jennifer Carter
Comedy/Spoken Word,g.156,Rodney Carrington
Comedy/Spoken Word,g.156,Dale Harris
Comedy/Spoken Word,g.156,Doubie Marley
Comedy/Spoken Word,g.156,Cheech and Chong
Comedy/Spoken Word,g.156,Jan Murray
Comedy/Spoken Word,g.156,Flight Of The Conchords
Comedy/Spoken Word,g.156,WWE
Comedy/Spoken Word,g.156,Christmas
Metal,g.394,Metallica
Metal,g.394,Def Leppard
Metal,g.394,Linkin Park
Metal,g.394,Rage Against The Machine
Metal,g.394,Slipknot
Metal,g.394,Shinedown
Metal,g.394,Godsmack
Metal,g.394,Incubus
Metal,g.394,Ozzy Osbourne
Metal,g.394,Bon Jovi
Metal,g.394,Limp Bizkit
Metal,g.394,Korn
Metal,g.394,Poison
Metal,g.394,Mötley Crüe
Metal,g.394,Disturbed
Metal,g.394,System of a Down
Metal,g.394,Black Sabbath
Metal,g.394,TOOL
Metal,g.394,Rob Zombie
Metal,g.394,Marilyn Manson
